,Medium,Classification,Title,Artist,ConstituentID,ThumbnailURL,class_color
74821,"Lacquered plastic, in two parts",Sculpture,"Tango Tangles, II",Tony DeLap,1477,http://www.moma.org/media/W1siZiIsIjIyNjU2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5a7bd94a82adad7c,yellow
74825,Painted balsa wood,Sculpture,Sleeping Figure,Louise Bourgeois,710,http://www.moma.org/media/W1siZiIsIjcwMjk3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=3c54fdf2974f6a33,yellow
74827,Fluorescent light and metal fixtures,Sculpture,"untitled (to the ""innovator"" of Wheeling Peachblow)",Dan Flavin,1911,http://www.moma.org/media/W1siZiIsIjEzNTM4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4d0429cd8423dd1a,yellow
74828,Various objects in glass display case,Sculpture,Celtic,Joseph Beuys,540,http://www.moma.org/media/W1siZiIsIjcxNDQ3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=e8e4a0da11700354,yellow
74829,Plaster,Sculpture,Human Concretion,Jean (Hans) Arp,11,http://www.moma.org/media/W1siZiIsIjIwOTk5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=84af2bd128812d98,yellow
74832,Painted wood,Sculpture,Construction,Burgoyne Diller,1546,http://www.moma.org/media/W1siZiIsIjIwNzk4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8e06dcf79fdf27d8,yellow
74835,Plywood covered with fiberglass and resin,Sculpture,The Absolutely Naked Fragrance,John McCracken,3876,http://www.moma.org/media/W1siZiIsIjIwOTk5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=06b24a2de46b922e,yellow
74837,"Metal, paper, and “artist’s shit”",Sculpture,Artist's Shit No. 014,Piero Manzoni,3741,http://www.moma.org/media/W1siZiIsIjcwMzE2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=de1e2ddee43b2daa,yellow
74838,Marble,Sculpture,Mother and Child,Jacob Epstein,1741,http://www.moma.org/media/W1siZiIsIjIyMTY5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cf0642c4424e26ed,yellow
74839,Steel wire,Sculpture,Sow,Alexander Calder,922,http://www.moma.org/media/W1siZiIsIjIwOTk5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c0b740cac5c8c875,yellow
74840,"Wood, mirror, wire netting, and paper",Sculpture,"Central Park Carrousel, in Memoriam",Joseph Cornell,1247,http://www.moma.org/media/W1siZiIsIjIwOTk5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=94e9299fb79eb22b,yellow
74842,Steel,Sculpture,Arachne,Richard Hunt,2769,http://www.moma.org/media/W1siZiIsIjM4MTk5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1348a5b90ac6c7a1,yellow
74845,Cello fingerboard and scroll with horsehair,Sculpture,Emak Bakia,Man Ray (Emmanuel Radnitzky),3716,http://www.moma.org/media/W1siZiIsIjIwNzk4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=007e7b0f521c0aed,yellow
74849,Embroidery on linen,Sculpture,Sampler (Starting Over),Elaine Reichek,7960,http://www.moma.org/media/W1siZiIsIjg0MzI3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=dce3391bf953a88c,yellow
74850,Tinted plaster,Sculpture,Desire,Aristide Maillol,3697,http://www.moma.org/media/W1siZiIsIjcwNDUxIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=dc86ce5e90b90545,yellow
74853,Iron,Sculpture,Balanced Sculpture,Lynn Chadwick,1054,http://www.moma.org/media/W1siZiIsIjIwNzk5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=21544d4b9f14ef4c,yellow
74854,"Lagos wood, partly painted",Sculpture,Hollow Form (Penwith),Barbara Hepworth,2600,http://www.moma.org/media/W1siZiIsIjIwNzk5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d6d69092161842eb,yellow
74856,Painted bronze on wood base,Sculpture,The Chariot,Alberto Giacometti,2141,http://www.moma.org/media/W1siZiIsIjI0Njc4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=65d358a47d0a2189,yellow
74866,"Chromium figure, lying on miniature automobile chassis, in a plexiglass case",Sculpture,Study from Falling Man series,Ernest  Trova,5938,http://www.moma.org/media/W1siZiIsIjIwODAwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=80f9ff37819220bb,yellow
74867,Steel and plaster,Sculpture,The Outside of a Soldier,Edward Higgins,2638,http://www.moma.org/media/W1siZiIsIjY5MjAwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=c330b3d76aa13dec,yellow
74868,Welded iron pipes and boiler within wire mesh,Sculpture,Natural History,Richard Stankiewicz,5601,http://www.moma.org/media/W1siZiIsIjIyMTYyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8fb187b728d79f97,yellow
74870,Copper mounted on wood,Sculpture,Shadow of the Miracle,Zoltan Kemeny,3055,http://www.moma.org/media/W1siZiIsIjIwODAwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8ab583e64e8549f4,yellow
74876,Tennessee marble,Sculpture,Child with Cat,William Zorach,6582,http://www.moma.org/media/W1siZiIsIjI1MTc2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4900258b76d3bb19,yellow
74877,Lead and copper wire,Sculpture,The Bride,Henry Moore,4071,http://www.moma.org/media/W1siZiIsIjIxMDAyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b8cb7404ca30709b,yellow
74878,Brass and oxidized bronze,Sculpture,Developable Column,Antoine Pevsner,4591,http://www.moma.org/media/W1siZiIsIjE2NTc2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a5df04cb9ede8271,yellow
74882,Welded and hammered steel brazed with bronze and brass,Sculpture,Spectre of Kitty Hawk,Theodore Roszak,5039,http://www.moma.org/media/W1siZiIsIjIwODAxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a2b84ed44f7f6a37,yellow
74884,Iron and steel,Sculpture,City Bird,Richard Stankiewicz,5601,http://www.moma.org/media/W1siZiIsIjIwODAxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=94ed1bcbd54a4bd3,yellow
74885,Ebony,Sculpture,Torso,Ossip Zadkine,6533,http://www.moma.org/media/W1siZiIsIjE1NDA0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4efe9746e862354a,yellow
74888,Scrap iron and steel,Sculpture,Instruction,Richard Stankiewicz,5601,http://www.moma.org/media/W1siZiIsIjIwODAxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=de90688b7bcd5a5d,yellow
74894,Terra cotta,Sculpture,Rock Drawing,Reuben Nakian,4218,http://www.moma.org/media/W1siZiIsIjE2NTc4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bee08c0a5e0464e1,yellow
74896,Unglazed Karatsu red stoneware and wood,Sculpture,Big Boy,Isamu Noguchi,4324,http://www.moma.org/media/W1siZiIsIjMwMjM3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d4054f8b23aa6e3c,yellow
74897,"Plastic cord, plexiglass, and wood",Sculpture,"Acceleration 19, Series B",Yvaral (Jean Pierre Vasarely),6527,http://www.moma.org/media/W1siZiIsIjIyMTY0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=762c4271d1ba4817,yellow
74898,Elmwood,Sculpture,Mother and Child,Henry Moore,4071,http://www.moma.org/media/W1siZiIsIjIwODAzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=271be84eb50dfc21,yellow
74900,Stainless steel,Sculpture,Construction 8,José de Rivera,1443,http://www.moma.org/media/W1siZiIsIjE2NTc5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dd75883c6f59183d,yellow
74901,"Latex, vinyl paint, and synthetic polymer paint on a washing-powder boxes",Sculpture,Tide,Justen Ladda,3338,http://www.moma.org/media/W1siZiIsIjMwODQ0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=15ea342328342d88,yellow
74902,"Two-volume book of clay, photographs, synthetic polymer paint, glass, porcelain, and copper wire on board, bound with canvas, each on a steel lectern designed by the artist",Sculpture,Splitting I and II,Anselm Kiefer,3086,http://www.moma.org/media/W1siZiIsIjE2NTc5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=19479118691cefcf,yellow
74906,"Gelatin silver prints, electric lamps, and tin biscuit boxes containing cloth fragments",Sculpture,The Storehouse,Christian Boltanski,649,http://www.moma.org/media/W1siZiIsIjIxMDA1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=311e4eeff0124b4c,yellow
74908,"Hinged painted wood and mirrors, one hundred parts",Sculpture,Arrivals and Departures: 100 Doors,Mary Miss,4023,http://www.moma.org/media/W1siZiIsIjE2MjMxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=41f7f5f96c3faf72,yellow
74910,Plastic-coated stainless steel,Sculpture,A Study in Growth,Robert Engman,1737,http://www.moma.org/media/W1siZiIsIjQ5MjAxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d71c4b1f071006a5,yellow
74915,Wood and rope,Sculpture,Galaxy,Frederick Kiesler,3091,http://www.moma.org/media/W1siZiIsIjE2NTg3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=55e642a6c8357b2f,yellow
74917,Beechwood,Sculpture,Ritual Figure,Elbert Weinberg,6285,http://www.moma.org/media/W1siZiIsIjE2MTM1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d36ad01408783452,yellow
74918,"Polychrome wood, cardboard, and crushed eggshells",Sculpture,Symphony Number 1,Vladimir Baranoff-Rossiné,325,http://www.moma.org/media/W1siZiIsIjIxMDA4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=17782a547b322ae0,yellow
74919,Stainless steel and artist certificate,Sculpture,High Energy Bar and Certificate,Walter De Maria,1433,http://www.moma.org/media/W1siZiIsIjIyNjYyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=99dcda5b470b497b,yellow
74924,Chocolate and steel,Sculpture,Basel on the Rhine,Dieter Roth,5042,http://www.moma.org/media/W1siZiIsIjIxMDEwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3d67d2294349dd28,yellow
74927,"Exterior: steel, insulation, wood and glass. Interior: colored lights, water, fiberglass, wood, papier-mâché, pebbles and paint",Sculpture,A-Z Escape Vehicle: Customized by Andrea Zittel,Andrea Zittel,7525,http://www.moma.org/media/W1siZiIsIjIyNjY1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0eeb84437b74c499,yellow
74928,Lead,Sculpture,Jackson Pollock,Herbert Ferber,1851,http://www.moma.org/media/W1siZiIsIjIwODA4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bfc92760a7833d70,yellow
74929,"Glass bottle and stopper encrusted with shells, glass, barnacles, coral, and metal",Sculpture,Bottle,Laurence Vail,6050,http://www.moma.org/media/W1siZiIsIjYzMTA2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=6fffb668ba99fedc,yellow
74930,Stone (gneiss),Sculpture,Pair of Rock Chairs,Scott Burton,889,http://www.moma.org/media/W1siZiIsIjIyNjI1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ee407afc3f551a3b,yellow
74931,"Wood and glass, painted",Sculpture,The Little Theater,Salvador Dalí,1364,http://www.moma.org/media/W1siZiIsIjE1OTIyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ac65cbee21948bdb,yellow
74936,Polystyrene,Sculpture,Form 7,Deborah de Moulpied,4129,http://www.moma.org/media/W1siZiIsIjIwODEzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9a2d99f3829a3936,yellow
74937,"Leather valise containing miniature replicas, photographs, color reproductions of works by Duchamp, and one ""original"" drawing [Large Glass, collotype on celluloid, 7 1/2 x 9 1/2"" (19 x 23.5 cm)]",Sculpture,Box in a Valise (From or by Marcel Duchamp or Rrose Sélavy),Marcel Duchamp,1634,http://www.moma.org/media/W1siZiIsIjIyNjMyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ebee58578d3c7a88,yellow
74939,Fluorescent light and metal fixture,Sculpture,pink out of a corner (to Jasper Johns),Dan Flavin,1911,http://www.moma.org/media/W1siZiIsIjcxNDc0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=453b5b274a0ada27,yellow
74940,Cast stone,Sculpture,Standing Youth,Wilhelm Lehmbruck,3464,http://www.moma.org/media/W1siZiIsIjQ0MjQ5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1ba4498147fdef7c,yellow
74943,"Casein on wood with metal, nails, and string",Sculpture,"Relief, New York",Charles Biederman,554,http://www.moma.org/media/W1siZiIsIjY4MzAzIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=f2396bb2d3529cdc,yellow
74944,Painted rope and wood,Sculpture,Rope Piece,Robert Morris,4108,http://www.moma.org/media/W1siZiIsIjIxMDE3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=13a53e097d1e012b,yellow
74945,Painted steel,Sculpture,Project for a Monument to Guillaume Apollinaire,Pablo Picasso,4609,http://www.moma.org/media/W1siZiIsIjIxMDE3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dd7a17fb1c29befd,yellow
74946,Mirrors on formica-covered base,Sculpture,Mirror Stratum,Robert Smithson,5497,http://www.moma.org/media/W1siZiIsIjIyNjM5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cb36248710ad534c,yellow
74949,"Book of twenty-three double page photographs with synthetic polymer paint and graphite mounted on cardboard, and cover of graphite and synthetic polymer paint on paper mounted on cardboard, bound cloth, on a steel lectern designed by the artist",Sculpture,Midsummer Night III,Anselm Kiefer,3086,http://www.moma.org/media/W1siZiIsIjIyNjQwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7ead738d9fb5c68d,yellow
74954,Carrara marble and milk,Sculpture,Milk Stone,Wolfgang Laib,3342,http://www.moma.org/media/W1siZiIsIjIwODE1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=deb2b5a60ab198c7,yellow
74963,Enamel on metal with marble base,Sculpture,Passage,Alexander Liberman,3537,http://www.moma.org/media/W1siZiIsIjIwODE2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8ddf465a75f6ae1b,yellow
74964,Mirrors and coral,Sculpture,Corner Mirror with Coral,Robert Smithson,5497,http://www.moma.org/media/W1siZiIsIjIxMDIxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c1926d6e0d302ec1,yellow
74965,"Pine, glass, steel wool, metal, rubber and paint",Sculpture,Social Problems,H. C. Westermann,6322,http://www.moma.org/media/W1siZiIsIjIyNjQ1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e1f4280dbec34a83,yellow
74966,"Wood, glass, wire, and string",Sculpture,The Palace at 4 a.m.,Alberto Giacometti,2141,http://www.moma.org/media/W1siZiIsIjIyODA2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=be28ba02bea86fcb,yellow
74967,"Cement, burnt wood, and wire mesh",Sculpture,Burnt Piece,Jackie Winsor,6402,http://www.moma.org/media/W1siZiIsIjIxMDIzMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=562260baf01e7ad6,yellow
74969,"Diamond plate aluminum, painted steel, and mirrors stained with translucent color",Sculpture,Elements Number 30,Siah Armajani,219,http://www.moma.org/media/W1siZiIsIjMzMjMzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ce63d49f263afbf1,yellow
74971,Ferrous sheet metal and wire,Sculpture,Guitar,Pablo Picasso,4609,http://www.moma.org/media/W1siZiIsIjE5NDkxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=136d10c7238d6d00,yellow
74978,"Wood, stained and painted",Sculpture,Woman at the Piano,Elie Nadelman,4197,http://www.moma.org/media/W1siZiIsIjQ0MTAzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8b687a301f87899f,yellow
74980,"Paint and papier-mâché on aluminum screening, 19 units (one missing)",Sculpture,Repetition Nineteen I,Eva Hesse,2623,http://www.moma.org/media/W1siZiIsIjE1OTg1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f4559b0abdd3abba,yellow
74986,Cast iron and steel,Sculpture,Head,David Smith,5480,http://www.moma.org/media/W1siZiIsIjIwODIyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2282769a63aa6ea1,yellow
74987,Synthetic polymer paint on wood and polished aluminum in painted wood box,Sculpture,Instability through Movement of the Spectator,Julio Le Parc,3432,http://www.moma.org/media/W1siZiIsIjIwODIyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=712c5598ce3855c9,yellow
74988,Chrome-plated metal drum containing a roll of paper with an ink line drawn along its 1000-meter length,Sculpture,Line 1000 Meters Long,Piero Manzoni,3741,http://www.moma.org/media/W1siZiIsIjE3NTA4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8ca1eea866fce667,yellow
74991,"Steel beams, aluminum, paint, and wire",Sculpture,"White Anger, Red Danger, Yellow Peril, Black Death",Bruce Nauman,4243,http://www.moma.org/media/W1siZiIsIjQ0NzEwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0dd48ad355c015e3,yellow
74992,"Wax figure, suitcase, tin cans, shredded nylon, and other materials, in wood box",Sculpture,The Box,Bruce Conner,1215,http://www.moma.org/media/W1siZiIsIjIxNjExNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=15f474f121f7fbe4,yellow
74994,Cast concrete and steel,Sculpture,misterleaner,Peter Shelton,5386,http://www.moma.org/media/W1siZiIsIjE2NTkzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=31bb9bf948fc74e5,yellow
74998,"Welded brass and steel, painted",Sculpture,Sphere,Gego (Gertrud Goldschmidt),2107,http://www.moma.org/media/W1siZiIsIjIxMDMxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=34cb2c1a6e3ae7be,yellow
75004,Partially silvered glass with chromium frame,Sculpture,Shadows,Larry Bell,444,http://www.moma.org/media/W1siZiIsIjIwODIzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b09c036dd7000e85,yellow
75005,"Synthetic polymer paint, bronze powder and lacquer on wood, anodized aluminum, rubber, plastic, formica, leather, chrome-plated steel, and canvas",Sculpture,Tormented Self-Portrait (Susie at Arles),Ashley Bickerton,551,http://www.moma.org/media/W1siZiIsIjIzMzkwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=54be59c100a2f54f,yellow
75011,Limestone,Sculpture,Temptation of St. Anthony,Oscar Jespers,2912,http://www.moma.org/media/W1siZiIsIjE1NDAzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5d9c0e9ce8a51f20,yellow
75019,"Weatherproof steel, six plates",Sculpture,Switch,Richard Serra,5349,http://www.moma.org/media/W1siZiIsIjQyMzkyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fb878f5f3e0b04b5,yellow
75020,"Casein on wood panels with metal, plastic and rubber",Sculpture,NBC Nightly News,Moira Dryer,7446,http://www.moma.org/media/W1siZiIsIjQ3NDc1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=357a19b8d92bccaf,yellow
75021,"Bronze, in seven parts",Sculpture,Maria of the O,Miguel Ortiz Berrocal,522,http://www.moma.org/media/W1siZiIsIjIwODI2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=31729f4f103c8ad4,yellow
75022,Glass,Sculpture,Silence,Mona Hatoum,7447,http://www.moma.org/media/W1siZiIsIjIxMDM1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c813295d54405c1e,yellow
75026,"Fur-covered cup, saucer, and spoon",Sculpture,Object,Meret Oppenheim,4416,http://www.moma.org/media/W1siZiIsIjM0NzQ2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d48e0870cdc0e517,yellow
75035,Painted plaster and steel,Sculpture,John Chamberlain Working,George Segal,5316,http://www.moma.org/media/W1siZiIsIjU4NzA4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=76ad404d97de15e9,yellow
75037,"Ball bearings embedded in plexiglass, in plexiglass frame",Sculpture,Constellation Number 18,Arman,220,http://www.moma.org/media/W1siZiIsIjIwODI5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=53ca8fef71b9cf42,yellow
75041,Painted wood and plaster,Sculpture,Glass on a Table,Aleksandr Archipenko,209,http://www.moma.org/media/W1siZiIsIjIyODM2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a01cc96655fc4304,yellow
75042,Walnut,Sculpture,Chinese Red Army Soldier,Emma Lu Davis,1405,http://www.moma.org/media/W1siZiIsIjIwODMwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=edc8e45979839b97,yellow
75046,Granite,Sculpture,Seated Woman,Ahron Ben-Shmuel,462,http://www.moma.org/media/W1siZiIsIjY5MzcyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=e735b356cf075510,yellow
75048,Wrought iron with glass cullet,Sculpture,Inner Eye,Lynn Chadwick,1054,http://www.moma.org/media/W1siZiIsIjE0OTgzMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d7bbf622383fce32,yellow
75050,"Miniature French window, painted wood frame, and panes of glass covered with black leather",Sculpture,Fresh Widow,Marcel Duchamp,1634,http://www.moma.org/media/W1siZiIsIjIxMDQ3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=57955b4940239683,yellow
75053,Cor-Ten steel,Sculpture,Monument,Pablo Picasso,4609,http://www.moma.org/media/W1siZiIsIjE2NTQ1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=44ddbe049c721f6a,yellow
