,Medium,Classification,Title,Artist,ConstituentID,ThumbnailURL,class_color
95,Graphite on tracing paper,Architecture,"Law Courts Annex, Gothenburg, Sweden, Exterior elevation",Erik Gunnar Asplund,27,http://www.moma.org/media/W1siZiIsIjEwNjEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=ab6918017e623eab,
97,Graphite on tracing paper mounted on board,Architecture,"Woodland Crematorium, Stockholm, Sweden, Second version: section and two exterior elevations",Erik Gunnar Asplund,27,http://www.moma.org/media/W1siZiIsIjExMjQiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=dc1a888fb625f0e0,
100,Graphite on tracing paper on board,Architecture,"Woodland Crematorium, Woodland Cemetery, Stockholm, Sweden, Second version: exterior elevation",Erik Gunnar Asplund,27,http://www.moma.org/media/W1siZiIsIjExODQiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=d4287331328ac3d3,
109,Ink and graphite on drafting cloth,Architecture,"Woodland Crematorium, Woodland Cemetery, Stockholm, Sweden, Exterior elevation, final version",Erik Gunnar Asplund,27,http://www.moma.org/media/W1siZiIsIjEyODUiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=23e2f1777a4d351a,
114,Graphite on paper,Architecture,"Gymnasium-Bridge, project, New York City, New York, Perspective",Steven Holl,2702,http://www.moma.org/media/W1siZiIsIjE1NjYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=cabfb640d2ebb99b,
116,Graphite and color pencil on tracing paper,Architecture,"Library and Office Building of Salman Schocken, Jerusalem, Israel, Interior perspectives",Erich Mendelsohn,8219,http://www.moma.org/media/W1siZiIsIjYwMTI3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=1a4b5e2954ffd224,
119,Silkscreen,Architecture,Helium Bridge Project,Paolo Soleri,8101,http://www.moma.org/media/W1siZiIsIjE2MDciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=3450085f72bb8878,
120,Graphite and watercolor on paper,Architecture,"Autonomous Artisans' House, project, Staten Island, New York, Perspective",Steven Holl,2702,http://www.moma.org/media/W1siZiIsIjE2MTIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=4836ecc514f88492,
122,Graphite on vellum,Architecture,"Autonomous Artisans' House, project, New York (Staten Island), New York, Perspective",Steven Holl,2702,http://www.moma.org/media/W1siZiIsIjE2MjgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=8a774dd165e11b83,
125,Graphite on copy paper,Architecture,"Hadassah University Medical Center, Mount Scopus, Jerusalem, Perspectives",Erich Mendelsohn,8219,http://www.moma.org/media/W1siZiIsIjIxMDIyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=957f2a1ca3763a44,
127,Colored pencil on tracing paper,Architecture,"Hadassah University Medical Center, Mount Scopus, Jerusalem, Perspective",Erich Mendelsohn,8219,http://www.moma.org/media/W1siZiIsIjE2NjIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=769b57518e00daad,
128,"Graphite, ink and ink wash on paper",Architecture,"Porta Vittoria, project, Milan, Italy, Garden of Sounds, perspective and plan",Steven Holl,2702,http://www.moma.org/media/W1siZiIsIjE2NzYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=4d5803692b265001,
140,Ink on tracing paper,Architecture,"Residence for Herbert Green, Studies for an Unfolded Modular House, Cherry Hill, Pennsylvania, Perspective",Paul Rudolph,5076,http://www.moma.org/media/W1siZiIsIjE3NzMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=a3b883ca39d99b1e,
142,Ink and printed polymer sheet on paper,Architecture,"Finney Guest House Project, Siesta Key, Florida, Aerial perspective",Paul Rudolph,5076,http://www.moma.org/media/W1siZiIsIjE3ODUiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=52a7504dbee828dd,
144,Graphite and colored pencil on paper,Architecture,"Yale University, Art and Architecture Building, New Haven, Connecticut, Elevation",Paul Rudolph,5076,http://www.moma.org/media/W1siZiIsIjE4MDAiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=0e54cf2f46103a1d,
147,"Crayon, graphite, and gouache on sepia diazotype",Architecture,"Hadassah University Hospital, Mount Scopus, Jerusalem, Exterior perspective of northwest corner from University Building",Erich Mendelsohn,8219,http://www.moma.org/media/W1siZiIsIjE4MzEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=9c064cdc382a96b5,
148,"Tempera, graphite, and color pencil on print",Architecture,"Hadassah University Medical Center, Mount Scopus, Jerusalem, View of hospital, north west corner: ""From the National Library""",Erich Mendelsohn,8219,http://www.moma.org/media/W1siZiIsIjE4NDYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=17371a2ce16ffcad,
150,Ink and gouache on paper,Architecture,"Arcadia Peninsula Housing, project, Revised version: exterior elevation",Peter Cook,6950,http://www.moma.org/media/W1siZiIsIjE5MTAiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=51390bf833c95a9b,
152,Synthetic polymer on paper mounted on canvas,Architecture,"The Peak Project, Hong Kong, China (Exterior perspective)",Zaha Hadid,6953,http://www.moma.org/media/W1siZiIsIjE5MzgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=dd26102a0662adf2,
153,Ink and graphite on graph paper,Architecture,"Study for an Office Building, project, Tokyo, Japan, Exterior perspective",Fumihiko Maki,6954,http://www.moma.org/media/W1siZiIsIjE5NTciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=84aac4297b1ed343,
155,Graphite and colored pencil on tracing paper,Architecture,"Arch Oboler Guest House (Eleanor's Retreat), project, Malibu, California, Plan and elevation",Frank Lloyd Wright,6459,http://www.moma.org/media/W1siZiIsIjE5OTEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=57c08d9ee84fa133,
157,"Colored pencil, graphite, and color ink on tracing paper",Architecture,"Arch Oboler Guest House (Eleanor's Retreat), project, Malibu, California, Perspective",Frank Lloyd Wright,6459,http://www.moma.org/media/W1siZiIsIjIwMjIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=b7770df7a3582fe8,
159,Crayon and cut and pasted photocopies on transparent overlay on print,Architecture,"Exhibition ""Mario Bellini: Designer."", The Museum of Modern Art, New York, 1987, Installation plan",Mario Bellini,451,http://www.moma.org/media/W1siZiIsIjIxMTIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=34c19148da35029c,
165,Ink and photostat on acetate,Architecture,"Center for Applied Computer Research, Las Promesas, Mexico, Site plan",Emilio Ambasz,141,http://www.moma.org/media/W1siZiIsIjIyODgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=ae2602e3367239e2,
166,"Color pencil, graphite, and gouache",Architecture,"Hospital: House of Hope, Houses of Birth, Houses of No Return, project, Venice, Italy, Sectional perspective",Raimund Abraham,47,http://www.moma.org/media/W1siZiIsIjIyOTAiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=64b4f339371846e5,
168,Crayon on mulberry paper,Architecture,"Church on the Water, Tomamu, Hokkaido, Japan, Plan and sketch",Tadao Ando,7055,http://www.moma.org/media/W1siZiIsIjIzODciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=46fabaf98766cfea,
169,Crayon and ink on paper,Architecture,"Church on the Water, Tomamu, Hokkaido, Japan, Elevation and plan, sketch",Tadao Ando,7055,http://www.moma.org/media/W1siZiIsIjI0MDUiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=7683b20f77a820a7,
170,Graphite and crayon with scoring on paper,Architecture,"Chikatsu-Asuka Historical Museum, Minami-Kawachi, Osaka, Japan, Exterior perspective",Tadao Ando,7055,http://www.moma.org/media/W1siZiIsIjI0MjEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=fc83f94557c1d11e,
171,Computer-generated print,Architecture,"Nara Convention Hall, Nara, Japan, Exterior perspective",Arata Isozaki,2837,http://www.moma.org/media/W1siZiIsIjI0NTMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=ff3731cb0486d013,
176,Synthetic polymer paint on computer-generated print,Architecture,"Nara Convention Hall, Nara, Japan, Exterior perspective",Arata Isozaki,2837,http://www.moma.org/media/W1siZiIsIjI1MjciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=4ccb01a8943afa60,
177,Computer-generated print. print,Architecture,"Nara Convention Hall, Nara, Japan, Interior perspective of concert hall",Arata Isozaki,2837,http://www.moma.org/media/W1siZiIsIjI1MzgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=961a8f33abf73149,
180,Felt-tipped pen on tracing paper,Architecture,"Nara Convention Hall, Nara, Japan, Sketches for main hall",Arata Isozaki,2837,http://www.moma.org/media/W1siZiIsIjI1NzEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=45bb75ba1262be56,
182,Color ink on tracing paper,Architecture,"Nara Convention Hall, Nara, Japan, Perspective sketches for plaza and entrance lobby",Arata Isozaki,2837,http://www.moma.org/media/W1siZiIsIjI1OTIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=e2b7f98172a6d4cf,
186,Lithograph,Architecture,American System-Built Houses for The Richards Company project (Exterior perspective of model D101),Frank Lloyd Wright,6459,http://www.moma.org/media/W1siZiIsIjI2NDUiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=9c818166b4aae25c,
